"College Enrollment and Persistence
by School for Class of 2010 - 2023",,,Class of 2023,,,Class of 2022,,,,,Class of 2021,,,,
400105,"URBAN PREP -
BRONZEVILLE HS",,60,39,65,80,46,57.5,29,63,56,31,55.4,19,61.3
400106,"NOBLE -
JOHNSON HS",,110,95,86.4,148,115,77.7,48,41.7,152,89,58.6,47,52.8
400117,"NOBLE -
HANSBERRY HS",,98,79,80.6,113,80,70.8,52,65,138,97,70.3,59,60.8
400118,NOBLE - DRW HS,,56,28,50,70,40,57.1,25,62.5,70,41,58.6,16,39
400119,LEGAL PREP HS,,52,31,59.6,51,16,31.4,12,75,43,13,30.2,5,38.5
400121,"ACERO - DE LA
CRUZ",,24,10,41.7,25,16,64,12,75,39,20,51.3,13,65
400123,"YCCS -
SCHOLASTIC
ACHIEVEMENT",,43,6,14,33,4,12.1,*,*,17,1,5.9,*,*
400124,YCCS - MCKINLEY,,31,2,6.5,49,4,8.2,*,*,30,3,10,*,*
400125,"YCCS - ASPIRA
PANTOJA",,76,15,19.7,93,21,22.6,9,42.9,54,11,20.4,5,45.5
400126,"YCCS -
ASSOCIATION
HOUSE",,32,9,28.1,37,4,10.8,*,*,38,7,18.4,*,*
400127,"YCCS - AUSTIN
CAREER",,.,.,.,43,4,9.3,*,*,30,2,6.7,*,*
400128,"YCCS - CCA
ACADEMY",,55,9,16.4,48,5,10.4,*,*,48,10,20.8,4,40
400129,"YCCS -
PROGRESSIVE
LEADERSHIP",,62,7,11.3,80,12,15,3,25,79,5,6.3,*,*
400130,"YCCS - YOUTH
DEVELOPMENT",,25,8,32,35,7,20,*,*,25,5,20,*,*
400131,YCCS - CAMPOS,,50,9,18,64,12,18.8,2,16.7,80,12,15,4,33.3
400133,"YCCS -
INNOVATIONS",,179,38,21.2,129,22,17.1,8,36.4,61,8,13.1,*,*
400134,YCCS - ADDAMS,,.,.,.,88,16,18.2,7,43.8,79,16,20.3,11,68.8
400135,"YCCS - LATINO
YOUTH",,53,12,22.6,61,19,31.1,10,52.6,31,7,22.6,*,*
400136,"YCCS - OLIVE
HARVEY",,33,8,24.2,26,5,19.2,*,*,29,2,6.9,*,*
400137,"LITTLE BLACK
PEARL HS",,25,15,60,24,12,50,5,41.7,32,17,53.1,10,58.8
400139,YCCS - SULLIVAN,,53,8,15.1,37,3,8.1,*,*,64,4,6.3,*,*
400141,YCCS - TRUMAN,,70,27,38.6,93,32,34.4,19,59.4,45,25,55.6,17,68
400143,"YCCS - WEST
TOWN",,48,9,18.8,55,10,18.2,5,50,47,9,19.1,*,*
400144,YCCS - WEST,,66,5,7.6,26,2,7.7,*,*,27,5,18.5,*,*
400145,"YCCS - YOUTH
CONNECTION",,57,7,12.3,40,4,10,*,*,33,3,9.1,*,*
400147,"CHICAGO EXCEL
HS",,36,6,16.7,53,14,26.4,3,21.4,32,3,9.4,*,*
400149,"ACERO - SOTO
HS",,135,73,54.1,113,62,54.9,43,69.4,95,53,55.8,36,67.9
400150,YCCS - CHATHAM,,45,11,24.4,36,4,11.1,*,*,56,4,7.1,*,*
400156,"NOBLE - BUTLER
HS",,134,83,61.9,161,81,50.3,48,59.3,144,89,61.8,56,62.9
400157,"NOBLE - BAKER
HS",,62,40,64.5,41,25,61,14,56,51,25,49,18,72
400161,"CHICAGO
COLLEGIATE",,29,16,55.2,28,16,57.1,14,87.5,26,15,57.7,7,46.7
400162,INTRINSIC HS,,149,120,80.5,158,117,74.1,89,76.1,134,92,68.7,64,69.6
400164,"INSTITUTO -
JUSTICE HS",,43,14,32.6,42,5,11.9,*,*,49,8,16.3,*,*
400167,"HORIZON -
SOUTHWEST",,36,28,77.8,19,11,57.9,6,54.5,24,12,50,8,66.7
400169,"NOBLE - ITW
SPEER HS",,268,210,78.4,275,220,80,136,61.8,249,168,67.5,115,68.5
400170,"NOBLE -
ACADEMY HS",,127,97,76.4,118,100,84.7,71,71,110,83,75.5,57,68.7
400172,"ASPIRA -
BUSINESS &
FINANCE HS",,120,53,44.2,136,60,44.1,40,66.7,84,31,36.9,23,74.2
400173,"PATHWAYS -
BRIGHTON PARK
HS",,127,36,28.3,113,33,29.2,18,54.5,71,17,23.9,6,35.3
400175,"EXCEL SOUTH
SHORE HS",,59,12,20.3,40,9,22.5,*,*,22,4,18.2,*,*
400176,"EXCEL
SOUTHWEST HS",,15,5,33.3,26,9,34.6,*,*,14,4,28.6,*,*
400179,"NOBLE -
MANSUETO HS",,254,214,84.3,284,216,76.1,147,68.1,251,179,71.3,139,77.7
400182,"CATALYST MARIA
HS",,111,68,61.3,136,90,66.2,57,63.3,97,46,47.4,31,67.4
609674,"CHICAGO
VOCATIONAL HS",,100,53,53,175,73,41.7,35,47.9,141,48,34,16,33.3
609676,DUNBAR HS,,76,37,48.7,59,24,40.7,14,58.3,54,32,59.3,17,53.1
609678,JONES HS,,483,439,90.9,485,422,87,401,95,452,369,81.6,341,92.4
609679,PROSSER HS,,228,168,73.7,223,165,74,124,75.2,316,218,69,143,65.6
609680,PAYTON HS,,276,262,94.9,303,276,91.1,261,94.6,319,278,87.1,266,95.7
609682,RICHARDS HS,,53,27,50.9,39,19,48.7,6,31.6,44,16,36.4,6,37.5
609691,"NORTH-GRAND
HS",,216,151,69.9,231,139,60.2,85,61.2,192,93,48.4,53,57
609692,SIMEON HS,,256,151,59,290,154,53.1,84,54.5,309,164,53.1,97,59.1
609693,"WESTINGHOUSE
HS",,286,244,85.3,265,229,86.4,186,81.2,292,240,82.2,188,78.3
609694,HANCOCK HS,,232,204,87.9,245,197,80.4,167,84.8,260,177,68.1,152,85.9
609695,AMUNDSEN HS,,354,290,81.9,309,240,77.7,187,77.9,250,175,70,137,78.3
609698,BOGAN HS,,111,63,56.8,155,69,44.5,31,44.9,145,67,46.2,43,64.2
609704,FARRAGUT HS,,71,60,84.5,108,89,82.4,50,56.2,95,51,53.7,35,68.6
609705,FENGER HS,,57,28,49.1,42,25,59.5,11,44,63,24,38.1,11,45.8
609708,FOREMAN HS,,88,49,55.7,103,49,47.6,29,59.2,124,54,43.5,28,51.9
609709,GAGE PARK HS,,54,29,53.7,69,35,50.7,13,37.1,80,32,40,10,31.3
609710,HARLAN HS,,49,27,55.1,71,26,36.6,11,42.3,51,18,35.3,8,44.4
609712,HIRSCH HS,,14,8,57.1,15,4,26.7,*,*,17,3,17.6,*,*
609713,HYDE PARK HS,,129,82,63.6,145,61,42.1,38,62.3,133,61,45.9,34,55.7
609715,KELLY HS,,281,197,70.1,358,244,68.2,173,70.9,290,182,62.8,125,68.7
609716,KELVYN PARK HS,,77,50,64.9,57,36,63.2,17,47.2,44,21,47.7,13,61.9
609718,KENNEDY HS,,303,198,65.3,310,223,71.9,178,79.8,342,236,69,192,81.4
609719,LAKE VIEW HS,,220,165,75,292,182,62.3,139,76.4,312,197,63.1,135,68.5
609720,LANE TECH HS,,1031,984,95.4,1033,939,90.9,881,93.8,1064,940,88.3,873,93
609722,MANLEY HS,,14,5,35.7,10,1,10,*,*,12,4,33.3,*,*
609723,MARSHALL HS,,39,16,41,56,18,32.1,5,27.8,44,15,34.1,7,46.7
609724,MATHER HS,,335,260,77.6,346,245,70.8,187,76.3,245,156,63.7,120,76.9
609725,"MORGAN PARK
HS",,184,153,83.2,207,155,74.9,98,63.2,205,125,61,73,58.9
609726,BROOKS HS,,213,186,87.3,203,133,65.5,115,86.5,167,126,75.4,102,81
609727,PHILLIPS HS,,91,49,53.8,131,81,61.8,40,49.4,109,53,48.6,27,50.9
609728,ROOSEVELT HS,,207,122,58.9,187,104,55.6,70,67.3,203,105,51.7,74,70.5
609729,SCHURZ HS,,273,166,60.8,293,183,62.5,119,65,364,209,57.4,125,59.8
609730,SENN HS,,347,272,78.4,311,234,75.2,187,79.9,374,277,74.1,218,78.7
609732,STEINMETZ HS,,187,116,62,265,167,63,107,64.1,216,113,52.3,75,66.4
609733,SULLIVAN HS,,121,90,74.4,116,60,51.7,38,63.3,157,77,49,58,75.3
609734,TAFT HS,,944,747,79.1,794,576,72.5,468,81.3,759,558,73.5,447,80.1
609735,TILDEN HS,,32,12,37.5,40,14,35,5,35.7,49,15,30.6,8,53.3
609737,VON STEUBEN HS,,341,293,85.9,404,307,76,251,81.8,364,274,75.3,221,80.7
609738,"LINCOLN PARK
HS",,460,411,89.3,489,433,88.5,385,88.9,502,429,85.5,382,89
609739,WASHINGTON HS,,339,220,64.9,338,213,63,145,68.1,301,155,51.5,110,71
609740,WELLS HS,,56,32,57.1,63,32,50.8,19,59.4,87,39,44.8,21,53.8
609741,HUBBARD HS,,340,231,67.9,398,261,65.6,170,65.1,347,204,58.8,129,63.2
609744,"NORTHSIDE
LEARNING HS",,.,.,.,2,*,*,*,*,.,.,.,.,.
609745,SOUTHSIDE HS,,6,*,*,8,*,*,*,*,11,0,0,*,*
609746,KENWOOD HS,,493,396,80.3,405,291,71.9,239,82.1,352,250,71,192,76.8
609748,YORK HS,,58,1,1.7,35,1,2.9,*,*,17,0,0,*,*
609749,"NORTHSIDE PREP
HS",,260,247,95,263,250,95.1,238,95.2,240,227,94.6,216,95.2
609750,SIMPSON HS,,6,*,*,14,9,64.3,*,*,6,*,*,*,*
609751,KING HS,,91,77,84.6,119,87,73.1,66,75.9,94,76,80.9,51,67.1
609753,"CHICAGO
AGRICULTURE HS",,165,126,76.4,154,109,70.8,91,83.5,151,111,73.5,89,80.2
609754,"CHICAGO
MILITARY HS",,45,29,64.4,53,27,50.9,17,63,78,47,60.3,27,57.4
609755,YOUNG HS,,433,403,93.1,485,429,88.5,407,94.9,488,424,86.9,393,92.7
609756,CURIE HS,,598,442,73.9,574,393,68.5,294,74.8,540,364,67.4,263,72.3
609759,CLEMENTE HS,,110,65,59.1,128,72,56.3,36,50,158,81,51.3,49,60.5
609760,"CARVER
MILITARY HS",,90,63,70,105,67,63.8,52,77.6,97,54,55.7,36,66.7
609761,CORLISS HS,,61,35,57.4,54,27,50,10,37,58,25,43.1,13,52
609762,JULIAN HS,,64,42,65.6,81,36,44.4,16,44.4,72,25,34.7,10,40
609764,JUAREZ HS,,374,314,84,361,287,79.5,206,71.8,376,175,46.5,113,64.6
609766,VAUGHN HS,,16,1,6.3,11,0,0,*,*,11,2,18.2,*,*
609769,GRAHAM HS,,30,3,10,22,3,13.6,*,*,4,*,*,*,*
609780,"MARINE
LEADERSHIP AT
AMES HS",,118,69,58.5,117,80,68.4,58,72.5,109,52,47.7,39,75
609783,JEFFERSON HS,,18,4,22.2,9,*,*,*,*,9,*,*,*,*
610244,CLARK HS,,110,55,50,87,47,54,26,55.3,91,32,35.2,19,59.4
610245,DOUGLASS HS,,12,4,33.3,7,*,*,*,*,14,3,21.4,*,*
610304,"PHOENIX
MILITARY HS",,128,84,65.6,119,85,71.4,60,70.6,128,75,58.6,52,69.3
610323,BOWEN HS,,39,22,56.4,41,19,46.3,9,47.4,49,16,32.7,7,43.8
610334,RABY HS,,37,30,81.1,38,28,73.7,16,57.1,50,21,42,9,42.9
610340,"CHICAGO
ACADEMY HS",,138,122,88.4,138,101,73.2,77,76.2,132,82,62.1,54,65.9
610357,SPRY HS,,18,5,27.8,19,12,63.2,6,50,23,9,39.1,*,*
610380,WILLIAMS HS,,11,9,81.8,17,11,64.7,4,36.4,39,24,61.5,16,66.7
610381,BRONZEVILLE HS,,6,*,*,12,7,58.3,*,*,40,25,62.5,12,48
610383,"SOCIAL JUSTICE
HS",,66,38,57.6,74,46,62.2,28,60.9,53,33,62.3,17,51.5
610384,INFINITY HS,,86,60,69.8,79,46,58.2,35,76.1,90,47,52.2,36,76.6
610385,"MULTICULTURAL
ARTS HS",,48,29,60.4,38,17,44.7,9,52.9,40,22,55,9,40.9
610386,"PEACE AND
EDUCATION HS",,57,19,33.3,39,12,30.8,4,33.3,34,3,8.8,*,*
610389,ORR HS,,43,23,53.5,54,24,44.4,10,41.7,44,20,45.5,7,35
610390,"RICKOVER
MILITARY HS",,90,69,76.7,81,56,69.1,43,76.8,84,49,58.3,36,73.5
610391,LINDBLOM HS,,271,241,88.9,225,187,83.1,157,84,257,217,84.4,184,84.8
610392,"WORLD
LANGUAGE HS",,67,41,61.2,65,45,69.2,33,73.3,70,52,74.3,39,75
610394,UPLIFT HS,,17,10,58.8,17,7,41.2,*,*,11,8,72.7,*,*
610402,DEVRY HS,,76,67,88.2,77,69,89.6,51,73.9,71,56,78.9,46,82.1
610499,COLLINS HS,,42,28,66.7,25,12,48,5,41.7,45,25,55.6,12,48
610513,AIR FORCE HS,,35,22,62.9,48,32,66.7,20,62.5,29,16,55.2,9,56.3
610518,AUSTIN CCA HS,,24,7,29.2,42,14,33.3,5,35.7,49,11,22.4,5,45.5
610524,ALCOTT HS,,47,38,80.9,73,45,61.6,31,68.9,70,51,72.9,34,66.7
610529,OGDEN HS,,133,100,75.2,134,111,82.8,79,71.2,170,129,75.9,108,83.7
610543,SOLORIO HS,,272,195,71.7,293,192,65.5,125,65.1,278,158,56.8,121,76.6
610547,"SOUTH SHORE
INTL HS",,76,56,73.7,118,85,72,62,72.9,139,101,72.7,77,76.2
610557,"PATHWAYS -
ASHBURN HS",,86,19,22.1,71,19,26.8,12,63.2,69,22,31.9,8,36.4
610558,GOODE HS,,212,123,58,204,123,60.3,88,71.5,201,121,60.2,78,64.5
610561,"CRANE MEDICAL
HS",,96,75,78.1,83,45,54.2,24,53.3,64,48,75,26,54.2
610563,"BACK OF THE
YARDS HS",,234,183,78.2,254,206,81.1,146,70.9,251,185,73.7,145,78.4
610564,DISNEY II HS,,144,116,80.6,97,68,70.1,50,73.5,117,102,87.2,88,86.3
610565,"EXCEL
ENGLEWOOD HS",,40,10,25,39,5,12.8,*,*,33,6,18.2,*,*
610568,"PATHWAYS -
AVONDALE HS",,97,33,34,78,35,44.9,20,57.1,76,20,26.3,10,50
610569,"OMBUDSMAN -
NORTHWEST HS",,116,42,36.2,96,32,33.3,15,46.9,92,18,19.6,11,61.1
610570,"OMBUDSMAN -
SOUTH HS",,70,14,20,102,16,15.7,11,68.8,105,15,14.3,5,33.3
610571,"OMBUDSMAN -
WEST HS",,45,13,28.9,45,9,20,*,*,40,9,22.5,*,*
610573,"SAFE ACHIEVE
HS",,3,*,*,3,*,*,*,*,.,.,.,.,.
610587,DYETT ARTS HS,,130,85,65.4,135,75,55.6,49,65.3,137,80,58.4,50,62.5
610592,"ENGLEWOOD
STEM HS",,242,121,50,.,.,.,.,.,.,.,.,.,.
610593,"OMBUDSMAN -
ROSELAND HS",,48,11,22.9,36,4,11.1,*,*,26,1,3.8,*,*
610594,"PATHWAYS -
HUMBOLDT PARK
HS",,44,15,34.1,33,14,42.4,5,35.7,34,9,26.5,*,*
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
